evaluations raw_y
1 -504.0000000000
2 -322.0000000000
15 -309.0000000000
19 -302.0000000000
40 -282.0000000000
45 -228.0000000000
122 -208.0000000000
125 -202.0000000000
150 -201.0000000000
164 -147.0000000000
231 -133.0000000000
262 -114.0000000000
290 -107.0000000000
331 -94.0000000000
403 -67.0000000000
476 -55.0000000000
506 -29.0000000000
533 -3.0000000000
714 -2.0000000000
745 3.0000000000
787 4.0000000000
963 5.0000000000
1203 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -423.0000000000
2 -383.0000000000
5 -329.0000000000
9 -181.0000000000
80 -161.0000000000
174 -155.0000000000
202 -95.0000000000
322 -87.0000000000
332 -56.0000000000
435 -42.0000000000
508 -21.0000000000
599 -16.0000000000
622 -9.0000000000
703 2.0000000000
738 3.0000000000
903 4.0000000000
914 5.0000000000
5000 5.0000000000
evaluations raw_y
1 -309.0000000000
6 -208.0000000000
115 -194.0000000000
125 -188.0000000000
141 -161.0000000000
147 -134.0000000000
228 -127.0000000000
306 -121.0000000000
320 -101.0000000000
328 -87.0000000000
375 -80.0000000000
408 -67.0000000000
418 -54.0000000000
477 -48.0000000000
505 -23.0000000000
506 -16.0000000000
621 -10.0000000000
717 -4.0000000000
737 4.0000000000
962 5.0000000000
5000 5.0000000000
evaluations raw_y
1 -315.0000000000
7 -288.0000000000
51 -268.0000000000
99 -248.0000000000
112 -221.0000000000
134 -214.0000000000
186 -194.0000000000
202 -188.0000000000
241 -167.0000000000
249 -161.0000000000
293 -127.0000000000
331 -108.0000000000
336 -102.0000000000
341 -68.0000000000
411 -28.0000000000
520 -9.0000000000
711 2.0000000000
734 3.0000000000
826 4.0000000000
926 5.0000000000
1045 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -363.0000000000
2 -343.0000000000
3 -309.0000000000
5 -308.0000000000
10 -288.0000000000
20 -241.0000000000
34 -140.0000000000
181 -136.0000000000
203 -129.0000000000
212 -107.0000000000
290 -101.0000000000
311 -68.0000000000
404 -55.0000000000
428 -42.0000000000
453 -28.0000000000
489 -22.0000000000
541 -15.0000000000
617 -9.0000000000
626 -3.0000000000
704 -2.0000000000
712 4.0000000000
864 5.0000000000
1029 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -470.0000000000
2 -369.0000000000
5 -355.0000000000
8 -295.0000000000
18 -275.0000000000
25 -248.0000000000
48 -241.0000000000
78 -201.0000000000
105 -195.0000000000
112 -148.0000000000
219 -135.0000000000
226 -88.0000000000
330 -55.0000000000
409 -14.0000000000
533 -8.0000000000
614 -3.0000000000
667 -2.0000000000
671 4.0000000000
847 5.0000000000
945 6.0000000000
5000 5.0000000000
evaluations raw_y
1 -531.0000000000
2 -430.0000000000
5 -342.0000000000
10 -329.0000000000
13 -155.0000000000
105 -135.0000000000
247 -101.0000000000
274 -81.0000000000
306 -49.0000000000
408 -42.0000000000
518 -35.0000000000
545 -29.0000000000
566 -22.0000000000
579 -15.0000000000
680 -8.0000000000
743 -1.0000000000
805 4.0000000000
942 6.0000000000
1357 7.0000000000
5000 7.0000000000
evaluations raw_y
1 -470.0000000000
2 -457.0000000000
3 -409.0000000000
5 -370.0000000000
12 -335.0000000000
14 -316.0000000000
23 -255.0000000000
28 -221.0000000000
102 -201.0000000000
104 -194.0000000000
188 -181.0000000000
210 -128.0000000000
263 -121.0000000000
294 -114.0000000000
309 -108.0000000000
322 -101.0000000000
376 -81.0000000000
395 -74.0000000000
404 -63.0000000000
420 -61.0000000000
425 -48.0000000000
504 -41.0000000000
508 -15.0000000000
710 -3.0000000000
723 -2.0000000000
787 -1.0000000000
814 3.0000000000
949 4.0000000000
978 5.0000000000
4138 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -349.0000000000
5 -282.0000000000
16 -275.0000000000
20 -255.0000000000
21 -208.0000000000
125 -174.0000000000
220 -161.0000000000
222 -153.0000000000
252 -147.0000000000
286 -135.0000000000
305 -88.0000000000
429 -75.0000000000
453 -67.0000000000
503 -55.0000000000
542 -28.0000000000
630 -22.0000000000
634 -17.0000000000
698 -9.0000000000
805 3.0000000000
874 4.0000000000
1118 5.0000000000
1698 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -376.0000000000
7 -295.0000000000
15 -288.0000000000
21 -268.0000000000
39 -248.0000000000
49 -168.0000000000
205 -161.0000000000
207 -142.0000000000
231 -128.0000000000
251 -100.0000000000
302 -75.0000000000
411 -68.0000000000
494 -54.0000000000
498 -48.0000000000
502 -36.0000000000
528 -22.0000000000
614 -10.0000000000
636 -4.0000000000
715 3.0000000000
888 4.0000000000
899 5.0000000000
976 6.0000000000
1289 7.0000000000
5000 -40.0000000000
evaluations raw_y
1 -517.0000000000
2 -329.0000000000
9 -302.0000000000
27 -215.0000000000
38 -208.0000000000
106 -175.0000000000
137 -147.0000000000
212 -114.0000000000
214 -108.0000000000
292 -95.0000000000
309 -94.0000000000
315 -41.0000000000
379 -30.0000000000
405 -23.0000000000
413 -10.0000000000
524 -9.0000000000
617 -4.0000000000
619 -3.0000000000
625 3.0000000000
684 5.0000000000
1641 6.0000000000
1870 7.0000000000
5000 7.0000000000
evaluations raw_y
1 -477.0000000000
3 -356.0000000000
4 -335.0000000000
9 -295.0000000000
19 -275.0000000000
34 -242.0000000000
75 -221.0000000000
118 -188.0000000000
128 -128.0000000000
214 -68.0000000000
322 -61.0000000000
349 -55.0000000000
402 -49.0000000000
406 -48.0000000000
416 -42.0000000000
519 -23.0000000000
520 -22.0000000000
603 -8.0000000000
700 -3.0000000000
706 3.0000000000
863 4.0000000000
1122 5.0000000000
1379 6.0000000000
1686 7.0000000000
5000 7.0000000000
evaluations raw_y
1 -369.0000000000
2 -295.0000000000
13 -242.0000000000
28 -147.0000000000
197 -128.0000000000
270 -108.0000000000
275 -82.0000000000
362 -54.0000000000
491 -49.0000000000
503 -42.0000000000
516 -41.0000000000
518 -28.0000000000
581 -9.0000000000
718 -5.0000000000
728 -3.0000000000
752 4.0000000000
1206 5.0000000000
1396 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -457.0000000000
2 -369.0000000000
10 -328.0000000000
21 -322.0000000000
24 -309.0000000000
33 -281.0000000000
34 -221.0000000000
56 -174.0000000000
130 -108.0000000000
210 -102.0000000000
278 -101.0000000000
307 -74.0000000000
324 -68.0000000000
335 -42.0000000000
353 -41.0000000000
407 -35.0000000000
422 -22.0000000000
442 -16.0000000000
509 -10.0000000000
555 -9.0000000000
596 4.0000000000
924 5.0000000000
1103 6.0000000000
5000 -54.0000000000
evaluations raw_y
1 -402.0000000000
3 -349.0000000000
4 -208.0000000000
41 -194.0000000000
76 -141.0000000000
205 -128.0000000000
255 -121.0000000000
284 -95.0000000000
336 -88.0000000000
340 -55.0000000000
420 -22.0000000000
509 -1.0000000000
679 5.0000000000
1077 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -382.0000000000
2 -335.0000000000
4 -329.0000000000
22 -302.0000000000
26 -288.0000000000
57 -261.0000000000
72 -207.0000000000
110 -194.0000000000
208 -181.0000000000
238 -175.0000000000
243 -141.0000000000
248 -121.0000000000
335 -82.0000000000
345 -67.0000000000
404 -61.0000000000
422 -36.0000000000
467 -17.0000000000
508 -9.0000000000
628 -4.0000000000
708 2.0000000000
715 3.0000000000
895 4.0000000000
1253 5.0000000000
1706 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -470.0000000000
2 -443.0000000000
4 -403.0000000000
7 -349.0000000000
8 -208.0000000000
105 -181.0000000000
139 -174.0000000000
149 -160.0000000000
177 -147.0000000000
227 -141.0000000000
233 -134.0000000000
269 -121.0000000000
307 -114.0000000000
315 -108.0000000000
331 -101.0000000000
336 -82.0000000000
344 -61.0000000000
413 -55.0000000000
427 -41.0000000000
462 -35.0000000000
560 -9.0000000000
571 -5.0000000000
617 -2.0000000000
743 2.0000000000
763 4.0000000000
777 5.0000000000
909 6.0000000000
5000 6.0000000000
evaluations raw_y
1 -605.0000000000
2 -363.0000000000
16 -308.0000000000
