evaluations raw_y
1 21.5030740467
2 8.4995735097
5 5.1698713167
17 3.7856620264
137 3.2209747503
213 3.1979048763
246 2.2356581782
2620 1.8084348523
3215 1.7913447418
3693 0.8791726930
50000 19.7687980539
evaluations raw_y
1 9.9382406343
2 6.9991924524
4 4.1616446230
208 3.2271812528
366 2.8538349672
1096 2.7471367606
2143 1.7410679987
50000 25.9207680032
evaluations raw_y
1 15.2223743787
5 14.6989205744
7 9.5538698978
9 6.8664762020
16 3.2765127024
159 3.0024406312
798 2.1516781556
50000 6.2074069520
evaluations raw_y
1 21.3450230279
3 9.0718042036
10 6.2873010680
13 5.2274969312
48 4.7813946188
96 3.8709467659
375 3.2885560202
776 3.0050517093
1694 2.0365318012
50000 25.0841360601
evaluations raw_y
1 14.1811918935
5 7.6834270403
24 7.0299060812
30 3.7226323537
45 3.6648608889
495 2.1482487235
50000 26.3669270136
evaluations raw_y
1 19.9490687148
2 14.5220152279
4 8.4195662882
24 7.3659852405
25 6.3736512106
58 5.2499466858
135 5.0446577969
246 4.0780306417
249 2.0133355464
2106 1.6298210956
50000 6.2943137431
evaluations raw_y
1 5.1884283131
6 3.5179900559
120 2.9568682814
150 2.8336786640
215 2.4727712983
2644 2.3320119427
3593 2.2492016919
6626 2.0051906588
50000 20.0186180203
evaluations raw_y
1 18.1603398651
2 12.6490743723
3 9.1842345939
5 6.5452746560
14 5.2204229383
65 2.6104255579
4011 1.5896265631
50000 12.8240209043
evaluations raw_y
1 16.4757064311
2 6.4748927306
69 5.5470903225
77 4.9484912815
242 3.5854152437
497 3.3249760583
1677 3.2524158212
2304 2.8096436286
2745 1.2701291985
50000 16.3839762298
evaluations raw_y
1 14.8713631886
2 10.7665856289
11 7.0501531503
33 5.7425422132
77 5.3392192141
79 3.1780189384
111 2.8301627165
347 2.0594770535
614 1.9016525848
2812 1.6933221145
50000 15.7218772198
evaluations raw_y
1 15.1095225627
5 12.1150627663
10 9.2968736573
12 6.1138833869
19 5.5438306238
81 5.2957947261
122 4.6130358329
202 4.5182187689
389 3.1584436635
418 2.8753115401
934 2.4555682503
1108 2.3298297260
2155 1.9508326270
5146 1.2263849322
50000 10.7720546152
evaluations raw_y
1 24.4398028288
2 7.1931061701
20 5.7070749638
90 5.6514340064
116 5.3703763416
200 5.1809627459
240 4.0047665517
241 3.8619181758
319 3.0871455730
1053 2.7798669969
1523 2.5632770512
4085 2.2700723222
4566 1.6677129794
50000 20.6466003734
evaluations raw_y
1 26.2910312973
2 11.4160532286
11 10.7068432788
12 9.5097263993
19 4.8681129741
305 4.0076736765
312 3.4241455854
609 1.9622100774
50000 23.3477854253
evaluations raw_y
1 24.8591201627
2 13.2399714014
4 4.6687256287
156 4.5850735205
182 3.1725957216
504 1.9189097562
560 1.8561422362
50000 9.4101731592
evaluations raw_y
1 3.2155738131
189 2.9898511340
878 2.0656413623
50000 13.5420455089
evaluations raw_y
1 17.6721718618
3 11.5477123302
4 9.0562481710
8 8.4490292646
18 2.4366444190
4586 0.5010355611
50000 18.6311623118
evaluations raw_y
1 16.5552716778
2 14.2730543556
3 8.6996849159
8 8.3511129164
22 7.4522430160
23 4.3726139632
119 3.8496846884
230 3.7818837178
444 3.2361256497
1285 3.1319582455
1367 2.3931358719
2765 1.6624618114
50000 13.3461751196
evaluations raw_y
1 23.0440880199
2 19.3440699979
3 16.1419565704
4 9.4757524583
8 6.8505661142
21 5.2415572250
89 4.8485766219
208 1.8808783397
3145 1.8060249427
50000 12.3095505734
evaluations raw_y
1 25.7446596958
2 21.7547629345
4 11.0156078748
5 7.3784508148
29 6.6030803839
34 5.8431851841
47 5.3997740747
96 4.9381105485
108 2.7629481403
147 2.2820476113
1208 2.1591040748
50000 13.2158209861
evaluations raw_y
1 15.1409884020
3 12.9032926604
4 8.0929961206
39 8.0056221377
45 6.3165061280
65 5.2047389127
200 4.0173834023
236 3.2864835127
452 2.5505910597
747 2.2565976159
6116 1.7301451277
50000 14.8345138573
