evaluations raw_y
1 1.3007284079
11 1.3340448239
15 1.7531556802
32 2.1367521368
126 2.2935779817
513 2.9976019185
1554 3.1172069825
3898 3.1806615776
4160 3.4626038781
5000 3.4626038781
evaluations raw_y
1 0.8305647841
3 1.3340448239
10 1.7337031900
16 2.0798668885
352 2.1079258010
438 2.4366471735
721 2.8868360277
908 3.6231884058
2580 4.2087542088
5000 2.9411764706
evaluations raw_y
1 0.9293680297
3 1.4863258026
4 1.5151515152
13 1.6600265604
22 1.9747235387
60 2.2603978300
195 2.4752475248
344 2.5562372188
665 2.8868360277
752 2.9976019185
832 3.0562347188
1167 3.1172069825
1245 3.6231884058
1397 3.9936102236
5000 2.2281639929
evaluations raw_y
1 1.0204081633
4 1.2487512488
8 1.6600265604
22 2.1968365554
526 2.2603978300
596 2.3277467412
665 2.3992322457
793 2.4752475248
818 2.6427061311
882 2.7352297593
1055 2.7839643653
1191 3.1806615776
1745 3.4626038781
1974 3.6231884058
2205 3.7993920973
5000 3.7993920973
evaluations raw_y
1 1.0072522160
5 1.0271158587
6 1.4585764294
11 2.1367521368
228 2.3277467412
630 2.3629489603
672 2.3992322457
853 2.6427061311
1098 2.7352297593
1137 3.1172069825
1463 3.1806615776
1611 3.7091988131
2046 3.8940809969
5000 2.8344671202
evaluations raw_y
1 0.8532423208
2 0.9578544061
3 1.4188422247
13 2.3629489603
339 2.3992322457
1007 2.8344671202
1192 3.0562347188
1219 3.3875338753
1307 3.9936102236
1485 4.7169811321
5000 4.7169811321
evaluations raw_y
1 1.0766580534
3 1.3007284079
5 1.9500780031
109 2.3992322457
531 2.4366471735
580 2.6427061311
895 2.8344671202
993 2.9976019185
1103 3.5410764873
1406 4.0983606557
1918 4.2087542088
5000 4.2087542088
evaluations raw_y
1 1.5923566879
12 1.6600265604
28 1.7730496454
88 1.8142235123
116 1.8355359765
117 1.8796992481
147 1.9747235387
150 2.0259319287
212 2.1968365554
309 2.3277467412
418 2.5150905433
541 2.6427061311
933 2.7839643653
1020 3.3156498674
5000 3.3156498674
evaluations raw_y
1 0.9881422925
2 1.0204081633
4 1.8573551263
67 2.0525451560
362 2.1079258010
440 2.2603978300
458 2.3629489603
676 2.4752475248
687 2.6427061311
804 2.9976019185
1108 3.4626038781
1252 3.7993920973
1255 4.3252595156
1560 4.4483985765
3244 4.7169811321
5000 2.9976019185
evaluations raw_y
1 0.4449982200
2 0.6789788159
3 1.5762925599
12 1.6254876463
23 2.5562372188
32 2.5987525988
328 2.7352297593
534 2.8868360277
633 2.9411764706
642 3.3156498674
834 3.7091988131
3878 3.7993920973
4205 3.8940809969
5000 2.4366471735
evaluations raw_y
1 1.1150758252
3 1.3935340022
8 1.5299877601
23 2.0525451560
161 2.1968365554
695 2.5150905433
942 2.9411764706
1263 3.2467532468
1417 4.0983606557
5000 4.0983606557
evaluations raw_y
1 1.1478420569
3 1.3572204126
10 1.3935340022
26 1.6960651289
80 1.7730496454
130 1.8142235123
149 1.8573551263
317 1.9500780031
420 1.9747235387
460 2.4366471735
608 2.6427061311
882 2.7839643653
953 3.0562347188
1037 3.1806615776
1305 3.5410764873
1684 3.7091988131
5000 3.7091988131
evaluations raw_y
1 1.3340448239
6 1.5762925599
21 1.6425755585
30 1.7934002869
169 1.8355359765
183 2.1663778163
231 2.1968365554
555 2.9976019185
896 3.1172069825
1044 3.2467532468
1372 3.9936102236
3468 4.2087542088
5000 4.2087542088
evaluations raw_y
1 0.7365939894
3 1.5299877601
7 1.6425755585
26 1.7934002869
32 1.8573551263
141 2.0259319287
174 2.0798668885
222 2.2281639929
418 2.4752475248
616 3.3875338753
902 3.8940809969
5000 1.8573551263
evaluations raw_y
1 1.0008006405
6 1.2195121951
7 1.2794268168
8 1.6960651289
30 1.7146776406
45 1.8796992481
83 2.0000000000
136 2.0525451560
152 2.0798668885
197 2.1079258010
251 2.3992322457
560 2.5562372188
830 2.5987525988
1035 2.6881720430
1082 2.9411764706
1140 3.1172069825
1416 3.1806615776
1496 3.3875338753
1931 3.5410764873
5000 3.4626038781
evaluations raw_y
1 1.0008006405
3 1.0548523207
4 1.2100677638
5 1.2291052114
8 1.5451174289
20 2.0798668885
47 2.1079258010
262 2.3992322457
530 2.7839643653
1376 2.9411764706
1710 2.9976019185
1817 3.1806615776
2100 3.3156498674
2830 3.8940809969
5000 3.8940809969
evaluations raw_y
1 0.7297139521
2 1.2388503469
7 1.2794268168
24 1.4188422247
25 1.7730496454
35 1.8796992481
142 2.1663778163
495 2.5150905433
504 2.6427061311
523 2.7839643653
785 2.9976019185
942 3.4626038781
5000 2.3629489603
evaluations raw_y
1 0.8486082824
2 1.4450867052
6 1.5451174289
7 1.6087516088
34 1.6960651289
205 1.9500780031
213 2.0525451560
424 2.7352297593
1164 2.7839643653
1214 2.9976019185
1897 3.1806615776
2128 3.3156498674
2319 3.3875338753
2617 3.4626038781
2785 3.5410764873
2862 3.7993920973
5000 3.7993920973
evaluations raw_y
1 1.3116474292
4 1.3455328310
9 2.0798668885
215 2.1663778163
297 2.2281639929
359 2.4366471735
407 2.6427061311
689 2.9976019185
794 3.0562347188
902 3.3875338753
1140 4.0983606557
1594 4.2087542088
1673 4.8638132296
5000 4.8638132296
evaluations raw_y
1 1.0204081633
2 1.5006002401
23 1.5605493134
35 1.6087516088
39 1.8796992481
182 1.9500780031
206 2.1079258010
244 2.1968365554
439 2.4366471735
454 2.5987525988
558 2.7352297593
632 2.8868360277
718 3.3156498674
834 3.4626038781
847 4.0983606557
951 4.3252595156
1135 4.7169811321
1257 4.8638132296
5000 4.8638132296
